record_id,source_batch,screening_route,report_access,full_text_stage,final_role,primary_exclusion_reason,decision_basis,local_report
E79,legacy,CORE,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E80,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E81,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E82,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E83,legacy,CORE,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E84,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E85,legacy,CORE,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E87,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E89,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E100,legacy,CORE,FT,FULL_TEXT_EXCLUDED,EXCLUDE-OTHER,background_or_nonessential_measurement_endpoint,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E109,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E110,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E111,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E112,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E113,legacy,CORE,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E114,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E115,legacy,CORE,P,FULL_TEXT_EXCLUDED,EXCLUDE-OTHER,background_or_nonessential_measurement_endpoint,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E116,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E117,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E118,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E119,legacy,CORE,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E122,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E123,legacy,CORE,DATA,INCLUDED,DATA-RESOURCE,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E125,legacy,CORE,DATA,INCLUDED,DATA-RESOURCE,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E126,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E127,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E128,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E129,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E130,legacy,CORE,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E131,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E132,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E133,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E134,legacy,CORE,FT,INCLUDED,DIRECT-EMPIRICAL,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E138,legacy,CORE,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E139,legacy,CORE,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E09,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E10,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E11,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E23,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E24,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E25,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E26,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E27,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E28,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E29,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E30,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E31,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E32,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E33,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E43,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E44,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E45,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E46,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E48,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E49,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E50,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E51,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E52,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E53,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E54,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E61,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E62,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E63,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E64,legacy,TRANSFER,FT,FULL_TEXT_EXCLUDED,EXCLUDE-OTHER,transfer_endpoint_not_required,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E65,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E66,legacy,TRANSFER,FT,FULL_TEXT_EXCLUDED,EXCLUDE-OTHER,transfer_endpoint_not_required,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E67,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E68,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E69,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E86,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E88,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E90,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E91,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E92,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E93,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E94,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E98,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E99,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E101,legacy,TRANSFER,FT,FULL_TEXT_EXCLUDED,EXCLUDE-OTHER,transfer_endpoint_not_required,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E102,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E103,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E104,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E105,legacy,TRANSFER,NR,NOT_RETRIEVED,NOT-RETRIEVED,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E106,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E108,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E120,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E124,legacy,TRANSFER,DATA,INCLUDED,DATA-RESOURCE,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E135,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E136,legacy,TRANSFER,FT,INCLUDED,TRANSFER-METHOD,,Decision status and coded reason are reported in the preceding fields; the non-English internal working note was omitted from this public-release ledger.,
E143,open_final_20260901,TRANSFER,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E144,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E145,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E147,open_final_20260901,CORE,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E148,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E149,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E151,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E153,open_final_20260901,TRANSFER,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E155,open_final_20260901,TRANSFER,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,,"Complete open report assessed; necessary registration, localization, georeferencing or multi-epoch change method with transferable validation.",E155_A_Benchmark_for_Point_Clouds_Registration_Algorithms.pdf
E157,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E159,open_final_20260901,CORE,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E160,open_final_20260901,TRANSFER,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,,"Complete open report assessed; necessary registration, localization, georeferencing or multi-epoch change method with transferable validation.",E160_A_Coarse_to_Fine_3D_LiDAR_Localization_With_Deep_Local_Features_for_Lo.pdf
E161,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E164,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E165,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E166,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E175,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E176,open_final_20260901,TRANSFER,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E177,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E178,open_final_20260901,CORE,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,,"Complete open report assessed; direct stockpile/bulk-material geometry, segmentation, volume, mass or inventory endpoint.",E178_Analisis_Perbandingan_Volume_Stockpile_Batubara_Menggunakan_Data_Foto_.pdf
E183,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E184,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E187,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E189,open_final_20260901,TRANSFER,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E194,open_final_20260901,CORE,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,,"Complete open report assessed; direct stockpile/bulk-material geometry, segmentation, volume, mass or inventory endpoint.",E194_A_Point_Cloud_Segmentation_Method_for_Adhering_Coal_Piles_in_Industria.pdf
E195,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E196,open_final_20260901,CORE,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E198,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E201,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E204,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E205,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E206,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E209,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E213,open_final_20260901,CORE,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E215,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E216,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E217,open_final_20260901,TRANSFER,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,,"Complete open report assessed; necessary registration, localization, georeferencing or multi-epoch change method with transferable validation.",E217_Benchmarking_Local_Registration_Algorithms_on_Multi_Temporal_and_Multi.pdf
E219,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E220,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E226,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E227,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E232,open_final_20260901,CORE,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,,"Complete open report assessed; direct stockpile/bulk-material geometry, segmentation, volume, mass or inventory endpoint.",E232_COMBINING_TERRESTRIAL_SCANNED_DATASETS_WITH_UAV_POINT_CLOUDS_FOR_MININ.pdf
E233,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E234,open_final_20260901,TRANSFER,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E235,open_final_20260901,TRANSFER,DOWNLOAD_FAILED,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E236,open_final_20260901,CORE,NO_OPEN_PDF_LINK,NOT_RETRIEVED,NOT-RETRIEVED,,No complete usable report was obtained from the frozen open-link retrieval; title/abstract routing was not promoted to full-report evidence.,
E239,open_final_20260901,TRANSFER,RETRIEVED_OPEN_PDF,INCLUDED,TRANSFER-METHOD,,"Complete open report assessed; necessary registration, localization, georeferencing or multi-epoch change method with transferable validation.",E239_Crossmodal_point_cloud_registration_in_the_Hough_space_for_mobile_lase.pdf
