blind_id,candidate_id,original_layer,first_reviewer_decision,second_reviewer_report_access,second_reviewer_decision,second_reviewer_reason,second_reviewer_basis,agreement,final_decision,adjudication_basis,adjudicator,adjudication_date
R011,E81,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R012,E400,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R013,E472,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R014,E30,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R015,E244,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R016,E224,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R017,E312,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R018,E323,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R019,E319,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R020,E167,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OVERLAP,The record materially overlaps another version of the same work in the frozen corpus and should not be counted as a separate evidential report.,Title/citation metadata supplied in the blind screening form; same or materially overlapping work identifiable elsewhere in the frozen corpus.,DISAGREE,EXCLUDE-OTHER,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R021,E62,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,DISAGREE,TRANSFER-METHOD,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R022,E304,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R023,E13,SUPPORT,SUPPORT-BACKGROUND,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,DISAGREE,SUPPORT-BACKGROUND,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R024,E251,CORE,DIRECT-EMPIRICAL,NOT-RETRIEVED,ABSTRACT-ONLY,"Potentially relevant measurement endpoint is indicated, but the supplied record is insufficient to establish a stronger empirical or transferable evidential role.",Title/citation or limited preview supplied in the blind screening form; evidence insufficient for a stronger classification.,DISAGREE,DIRECT-EMPIRICAL,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R025,E164,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R026,E41,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R027,E444,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R028,E79,CORE,ABSTRACT-ONLY,ABSTRACT/PREVIEW,ABSTRACT-ONLY,"Potentially relevant measurement endpoint is indicated, but the supplied record is insufficient to establish a stronger empirical or transferable evidential role.",Title/citation or limited preview supplied in the blind screening form; evidence insufficient for a stronger classification.,AGREE,ABSTRACT-ONLY,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R029,E387,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R030,E233,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R031,E200,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R032,E202,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R033,E330,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R034,E84,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R035,E58,SUPPORT,SUPPORT-BACKGROUND,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,DISAGREE,SUPPORT-BACKGROUND,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R036,E354,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R037,E430,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R038,E179,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R039,E434,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R040,E260,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R041,E398,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R042,E199,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R043,E31,TRANSFER,NOT-RETRIEVED,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,DISAGREE,NOT-RETRIEVED,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R044,E281,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R045,E393,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R046,E464,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R047,E132,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R048,E287,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R049,E399,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R050,E238,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R051,E342,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R052,E329,CORE,DIRECT-EMPIRICAL,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,AGREE,DIRECT-EMPIRICAL,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R053,E151,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R054,E26,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R055,E451,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R056,E292,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R057,E333,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R058,E249,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R059,E428,TRANSFER,TRANSFER-METHOD,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,AGREE,TRANSFER-METHOD,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R060,E28,TRANSFER,NOT-RETRIEVED,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,DISAGREE,NOT-RETRIEVED,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R061,E223,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R062,E257,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
R063,E64,TRANSFER,EXCLUDE-OTHER,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,DISAGREE,EXCLUDE-OTHER,"Consensus reached after review against the prespecified eligibility and evidence-role rules; the existing first-reviewer classification was retained, so the current manuscript synthesis is unchanged.",Reviewer 1 and Reviewer 2 consensus,2026-09-01
R064,E237,EXCLUDE,EXCLUDE-OTHER,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,AGREE,EXCLUDE-OTHER,Not required; independent decisions agree.,NOT-REQUIRED,NOT-REQUIRED
