blind_id,report_access,second_reviewer_decision,unique_primary_reason,page_table_abstract_basis,notes
R011,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R012,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R013,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R014,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R015,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R016,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R017,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R018,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R019,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R020,ABSTRACT/PREVIEW,EXCLUDE-OVERLAP,The record materially overlaps another version of the same work in the frozen corpus and should not be counted as a separate evidential report.,Title/citation metadata supplied in the blind screening form; same or materially overlapping work identifiable elsewhere in the frozen corpus.,Apparent preprint/version overlap with R079; adjudicate at reconciliation if version-specific content is needed.
R021,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R022,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R023,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,
R024,NOT-RETRIEVED,ABSTRACT-ONLY,"Potentially relevant measurement endpoint is indicated, but the supplied record is insufficient to establish a stronger empirical or transferable evidential role.",Title/citation or limited preview supplied in the blind screening form; evidence insufficient for a stronger classification.,
R025,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R026,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R027,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R028,ABSTRACT/PREVIEW,ABSTRACT-ONLY,"Potentially relevant measurement endpoint is indicated, but the supplied record is insufficient to establish a stronger empirical or transferable evidential role.",Title/citation or limited preview supplied in the blind screening form; evidence insufficient for a stronger classification.,
R029,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R030,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R031,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R032,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R033,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R034,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R035,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,
R036,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R037,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R038,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R039,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R040,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R041,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R042,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R043,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R044,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R045,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R046,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R047,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R048,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R049,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R050,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R051,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R052,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R053,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R054,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R055,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R056,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R057,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R058,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R059,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R060,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R061,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R062,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R063,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R064,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R065,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,
R066,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R067,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R068,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R069,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R070,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R071,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R072,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R073,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R074,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R075,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R076,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R077,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R078,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R079,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R080,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R081,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R082,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R083,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R084,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R085,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R086,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R087,ABSTRACT/PREVIEW,MOVE-SUPPORT,"Foundational standard, general algorithm, terminology source, or review-reporting guidance is useful as supporting context rather than empirical stockpile/transfer validation evidence.",Citation/title or preview supplied in the blind screening form; supporting standard/foundational/general-method role.,
R088,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R089,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R090,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R091,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R092,DATA,DATA-RESOURCE,Reusable dataset or data report supports a prespecified stockpile or three-dimensional measurement-chain task.,Dataset/data-report description supplied in the blind screening form.,
R093,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R094,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Directly evaluates a stockpile or bulk-material geometry, volume, mass, inventory, or a directly targeted measurement-chain component in the intended domain.",Formal title/abstract or substantive preview supplied in the blind screening form; direct stockpile/bulk-material measurement endpoint.,
R095,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R096,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Relevant sensing or robotics context, but it does not provide a necessary validated contribution to the stockpile three-dimensional measurement chain.",Formal title/abstract or substantive preview supplied in the blind screening form; platform/context contribution without a necessary metrology endpoint.,
R097,ABSTRACT/PREVIEW,SPECIALIST-REVIEW,Specialist review synthesizes stockpile volumetry or directly relevant three-dimensional measurement/change methods.,Formal title/abstract or substantive preview supplied in the blind screening form; review scope directly covers the target measurement problem.,
R098,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R099,DATA,DATA-RESOURCE,Reusable dataset or data report supports a prespecified stockpile or three-dimensional measurement-chain task.,Dataset/data-report description supplied in the blind screening form.,
R100,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R101,NOT-RETRIEVED,ABSTRACT-ONLY,"Potentially relevant measurement endpoint is indicated, but the supplied record is insufficient to establish a stronger empirical or transferable evidential role.",Title/citation or limited preview supplied in the blind screening form; evidence insufficient for a stronger classification.,
R102,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R103,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Outside stockpile or bulk-material measurement and does not provide necessary transferable evidence for the specified three-dimensional measurement chain.,Title/abstract or substantive preview supplied in the blind screening form; endpoint is outside the prespecified eligibility chain.,
R104,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R105,NOT-RETRIEVED,ABSTRACT-ONLY,"Potentially relevant measurement endpoint is indicated, but the supplied record is insufficient to establish a stronger empirical or transferable evidential role.",Title/citation or limited preview supplied in the blind screening form; evidence insufficient for a stronger classification.,
R106,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R107,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Transferable method directly addresses a prespecified measurement-chain stage such as acquisition, registration, reference-surface modelling, segmentation, uncertainty, or three-dimensional change detection.",Formal title/abstract or substantive preview supplied in the blind screening form; validated method maps to a prespecified measurement-chain stage.,
R108,DATA,DATA-RESOURCE,Reusable dataset or data report supports a prespecified stockpile or three-dimensional measurement-chain task.,Dataset/data-report description supplied in the blind screening form.,
