blind_id,candidate_id,original_layer,citation,first_reviewer_source_label,first_reviewer_report_access,first_reviewer_decision,first_reviewer_reason
R011,E81,CORE,"HE H, CHEN T, ZENG H, HUANG S. Ground control point-free unmanned aerial vehicle-based photogrammetry for volume estimation of stockpiles carried on barges[J]. *Sensors*, 2019, 19(16): 3534. DOI: 10.3390/s19163534.",He 2019,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R012,E400,CORE,Lianhong Ma; Yourui Xu; Jieting Ban; Guanglei Zhang; Jie Zhang; Mindong Li; Quanbu Liang; Yunhu Liu; Hongquan Lin. Research on the development and practical application of an intelligent management system for coal yards in thermal power plants. [Venue unavailable]. 2026. https://doi.org/10.1117/12.3120226,Lianhong Ma; Yourui Xu; Jieting Ban; Guanglei Zhang; Jie Zhang; Mindong Li; Quanbu Liang; Yunhu Liu; Hongquan Lin,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R013,E472,TRANSFER,Junrui Huang; Inna Sharf; Elie Ayoub; Nicolas Lemieux; Heshan Fernando. Vision-Based Semantic SLAM for Autonomous Navigation in Mill Yard. [Venue unavailable]. 2026. https://doi.org/10.21428/d82e957c.cb443f1a,Junrui Huang; Inna Sharf; Elie Ayoub; Nicolas Lemieux; Heshan Fernando,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Adjacent acquisition, calibration, localization or change evidence relevant to the target measurement chain."
R014,E30,TRANSFER,"AXELSSON P. DEM generation from laser scanner data using adaptive TIN models[C]//Int Arch Photogramm Remote Sens, 2000, XXXIII(Part B4): 110-117.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R015,E244,EXCLUDE,Zijian Wang; Xiaosu Xu; Yiqing Yao; Nuo Li; Tao Zhang. DeepLC: A deep loop closing network robust to viewpoint changes for LiDAR SLAM. Measurement. 2025. https://doi.org/10.1016/j.measurement.2025.119730,Zijian Wang; Xiaosu Xu; Yiqing Yao; Nuo Li; Tao Zhang,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R016,E224,EXCLUDE,Tushar Zanke; Stuti Jagtap; Samrudhi Wath; Snehashish Mulgir; Archana Chaudhari. Change detection in synthetic aperture radar images using spatial fuzzy clustering based on the similarity matrix. International Journal on Smart Sensing and Intelligent Systems. 2025. https://doi.org/10.2478/ijssis-2025-0026,Tushar Zanke; Stuti Jagtap; Samrudhi Wath; Snehashish Mulgir; Archana Chaudhari,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R017,E312,CORE,Seung Woo Son; Dong Woo Kim; Woong Gi Sung; Jae Jin Yu. Integrating UAV and TLS Approaches for Environmental Management: A Case Study of a Waste Stockpile Area. Remote Sensing. 2020. https://doi.org/10.3390/rs12101615,Seung Woo Son; Dong Woo Kim; Woong Gi Sung; Jae Jin Yu,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R018,E323,EXCLUDE,"Çiğdem Göksel; Filiz Bektaş Balçık. LAND USE AND LAND COVER CHANGES USING SPOT 5 PANSHARPEN IMAGES; A CASE STUDY IN AKDENIZ DISTRICT, MERSIN-TURKEY. Turkish Journal of Engineering. 2018. https://doi.org/10.31127/tuje.444685",Çiğdem Göksel; Filiz Bektaş Balçık,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R019,E319,EXCLUDE,Hualong Cao; Yongcai Wang; Deying Li. IPT: Iterative Pairing and Transformation for Multiple Point Cloud Registration. IEEE Transactions on Visualization and Computer Graphics. 2024. https://doi.org/10.1109/tvcg.2024.3509896,Hualong Cao; Yongcai Wang; Deying Li,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R020,E167,EXCLUDE,Can Pu; Chuanyu Yang; Jinnian Pu; Robert B. Fisher. A General Mobile Manipulator Automation Framework for Flexible Manufacturing in Hostile Industrial Environments. arXiv (Cornell University). 2023. https://doi.org/10.48550/arxiv.2302.04486,Can Pu; Chuanyu Yang; Jinnian Pu; Robert B,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R021,E62,TRANSFER,"KOVAL A, KARLSSON S, NIKOLAKOPOULOS G. Experimental evaluation of autonomous map-based Spot navigation in confined environments[J]. Biomimetic Intelligence and Robotics, 2022, 2(1): 100035. DOI: 10.1016/j.birob.2022.100035.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R022,E304,EXCLUDE,G. Nagel; E. de Moraes Novo; V. Martins; J. Campos‐Silva; C. Barbosa; M. Bonnet. Impacts of meander migration on the Amazon riverine communities using Landsat time series and cloud computing.. Science of the Total Environment. 2021. https://doi.org/10.1016/j.scitotenv.2021.150449,G,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R023,E13,SUPPORT,"CHEN Y, MEDIONI G. Object modelling by registration of multiple range images[J]. Image and Vision Computing, 1992, 10(3): 145-155. DOI: 10.1016/0262-8856(92)90066-C.","CHEN Y, MEDIONI G",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R024,E251,CORE,Li Bodi; Wang Weiping; Huang Mingteng; Haowei Lu. Design of coal quantity measurement system based on laser scanning. [Venue unavailable]. 2024. https://doi.org/10.1109/ei264398.2024.10991355,Li Bodi; Wang Weiping; Huang Mingteng; Haowei Lu,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R025,E164,CORE,K. D. Gayantha; M. H. P. P. Thilakarathna; W. G. C. W. Kumara; P.M.K. Alahakoon; P. R. D. S. Rudrigu. Advanced Real-Time Volumetric Modeling of Stockpiles in Industrial Applications Using Depth Camera. [Venue unavailable]. 2025. https://doi.org/10.1109/scse65633.2025.11031033,K,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R026,E41,CORE,"CHEN Y W, CHEN C F, KAU L J, et al. Application of LiDAR-Based Technology to Construction Material Volume Estimation[J]. Remote Sensing, 2026, 18(10): 1649. DOI: 10.3390/rs18101649.",Chen 2026,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R027,E444,EXCLUDE,Mukhzeer Mohamad Shahimin; Wan Mokhdzani Wan Norhaimi; Rajendaran Vairavan; Zaliman Sauli; Vithyacharan Retnasamy; Hasnizah Aris. Surface variation analysis of proximal interphalangeal joint of osteoarthritis with fringe projection profilometry. [Venue unavailable]. 2018. https://doi.org/10.1117/12.2304770,Mukhzeer Mohamad Shahimin; Wan Mokhdzani Wan Norhaimi; Rajendaran Vairavan; Zaliman Sauli; Vithyacharan Retnasamy; Hasnizah Aris,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R028,E79,CORE,"MORA O E, CHEN J, STOIBER P, et al. Accuracy of stockpile estimates using low-cost sUAS photogrammetry[J]. *International Journal of Remote Sensing*, 2020, 41(12): 4512–4529. DOI: 10.1080/01431161.2020.1723167.",Mora 2020,ABSTRACT/PREVIEW,ABSTRACT-ONLY,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R029,E387,EXCLUDE,"Manish Kumar; D. Arditi. Quantitative Molecular Imaging in Cancer Diagnosis , Detection , and Treatment By , Adya Rateria ( BE / 10712 / 2014 ) , Biotechnology Guide :. [Venue unavailable]. 2017.",Manish Kumar; D,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R030,E233,TRANSFER,Hao Li. Comparing methods to determine 3-D gully uncertainty using structure-from-motion (SfM) photogrammetry. [Venue unavailable]. 2019.,Hao Li,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R031,E200,EXCLUDE,Fabio Pacifici; Fabio Del Frate; C. Solimini; William J. Emery. A robust neural network design for detecting changes from multispectral satellite imagery. [Venue unavailable]. 2007. https://doi.org/10.1109/igarss.2007.4423320,Fabio Pacifici; Fabio Del Frate; C,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R032,E202,EXCLUDE,Pey Yuen Tao; Guilin Yang; Masayoshi Tomizuka. A sensor-based approach for error compensation of industrial robotic workcells. [Venue unavailable]. 2012. https://doi.org/10.1109/icra.2012.6224743,Pey Yuen Tao; Guilin Yang; Masayoshi Tomizuka,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R033,E330,EXCLUDE,Daniel H. James. Lunar Surface Change Detection. Aberystwyth Research portal (Aberystwyth University). 2026. https://doi.org/10.83164/85172465,Daniel H,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R034,E84,CORE,"ALSAYED A, YUNUSA-KALTUNGO A, QUINN M K, ARVIN F, NABAWY M R A. Drone-assisted confined space inspection and stockpile volume estimation[J]. *Remote Sensing*, 2021, 13: 3356. DOI: 10.3390/rs13173356.",Alsayed 2021,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R035,E58,SUPPORT,"ROERDINK J B T M, MEIJSTER A. The Watershed Transform: Definitions, Algorithms and Parallelization Strategies[J]. Fundamenta Informaticae, 2000, 41(1-2): 187-228. DOI: 10.3233/FI-2000-411207.","ROERDINK J B T M, MEIJSTER A",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R036,E354,EXCLUDE,Dongha Chung; Jinwhan Kim. NV-LIOM: LiDAR-Inertial Odometry and Mapping Using Normal Vectors Towards Robust SLAM in Multifloor Environments. IEEE Robotics and Automation Letters. 2024. https://doi.org/10.1109/lra.2024.3457373,Dongha Chung; Jinwhan Kim,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R037,E430,CORE,H.G.N.M. Karunasinghe; Ns Dissanayake; R. Rajapaksha; R.M.J.R. Rathnayake; P. Rudrigu; W. Kumara; P. Alahakoon. Specialized LiDAR Scanning Strategies for Stockpile Volumetric Measurement. 2026 6th International Conference on Advanced Research in Computing (ICARC). 2026. https://doi.org/10.1109/icarc68737.2026.11453946,H,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R038,E179,EXCLUDE,A. Huzortey; R. Boateng; J. Pappoe; C. Amoah; P. Adueming; J. Ansah; R. Combey; A. Kudom; P. Kwapong; M. J. Eghan; B. Anderson. Analysis of large-gradient land subsidence in the Alto Guadalentín Basin (Spain) using LiDAR data. [Venue unavailable]. 2022.,A,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R039,E434,CORE,Weiren Deng; Bingquan Zhu. Steel Metallurgy Crack Detection and Material Pile Volume Measurement Based on 3D Point Cloud and Improved SSD Model. Tehnički Vjesnik. 2025. https://doi.org/10.17559/tv-20250214002373,Weiren Deng; Bingquan Zhu,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R040,E260,EXCLUDE,Miyu Li; Junjie Li; Yumei Wang; Yu Liu; Haitao Xu. DUSTNet: An Unsupervised and Noise-Resistant Network for Martian Dust Storm Change Detection. IEEE Geoscience and Remote Sensing Letters. 2025. https://doi.org/10.1109/lgrs.2025.3561365,Miyu Li; Junjie Li; Yumei Wang; Yu Liu; Haitao Xu,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R041,E398,TRANSFER,"Xiaoxu Ren; Zekun Zhang; Haili Sun. RESEARCH ON SELF-CROSS-TRANSFORMER MODEL OF POINT CLOUD CHANGE DETECTION. The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences. 2023. https://doi.org/10.5194/isprs-archives-xlviii-1-w2-2023-179-2023",Xiaoxu Ren; Zekun Zhang; Haili Sun,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R042,E199,EXCLUDE,Bin Fang; Pengfei Qiao; Xueping Yi. A Robust Local Reference Frame for 3D Surface Description. Lecture notes in electrical engineering. 2025. https://doi.org/10.1007/978-981-96-2432-4_35,Bin Fang; Pengfei Qiao; Xueping Yi,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R043,E31,TRANSFER,"SITHOLE G, VOSSELMAN G. Experimental comparison of filter algorithms for bare-Earth extraction from airborne laser scanning point clouds[J]. ISPRS J Photogramm Remote Sens, 2004, 59(1-2): 85-101. DOI: 10.1016/j.isprsjprs.2004.05.004.",Source material supplied in the blinded screening form.,NOT-RETRIEVED,NOT-RETRIEVED,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R044,E281,EXCLUDE,Y. P. Fleisig. Flexible Tool-path Generation for Variable Geometry. [Venue unavailable]. 2011.,Y,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R045,E393,EXCLUDE,Vasilii Mosin; Roberto Aguilar; Alexander E. Platonov; Albert Vasiliev; Alexander Kedrov; A. B. Ivanov. Remote sensing and machine learning for tree detection and classification in forestry applications. [Venue unavailable]. 2019. https://doi.org/10.1117/12.2531820,Vasilii Mosin; Roberto Aguilar; Alexander E,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R046,E464,EXCLUDE,R. Venkatakrishnan. Upcoming oberseminars. [Venue unavailable]. 2019.,R,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R047,E132,CORE,"HARDIANTI S, MARYANA, DILARIYA. Analisis perbandingan kuantitas batubara antara drone DJI Phantom 4 RTK dengan terrestrial laser scanner pada stockpile LS DH5 [Comparative analysis of coal quantity between DJI Phantom 4 RTK drone and terrestrial laser scanner on LS DH5 stockpile][J]. *Mineral*, 2025, 10(1): 1–6. DOI: 10.33019/rtm5vr96.",Hardianti et al. 2025,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R048,E287,EXCLUDE,Zheng Qin; Hao Yu; Changjian Wang; Yulan Guo; Yuxing Peng; Slobodan Ilic; Dewen Hu; Kai Xu. GeoTransformer: Fast and Robust Point Cloud Registration With Geometric Transformer. IEEE Transactions on Pattern Analysis and Machine Intelligence. 2023. https://doi.org/10.1109/tpami.2023.3259038,Zheng Qin; Hao Yu; Changjian Wang; Yulan Guo; Yuxing Peng; Slobodan Ilic; Dewen Hu; Kai Xu,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R049,E399,EXCLUDE,Chang Deng; Pingqing Fan; Hongzhou Chen. Research on Spanning Tree Topology Optimization and Pyramid-Based Fine Alignment Algorithm for Multi-View Point Cloud Registration. Information. 2026. https://doi.org/10.3390/info17060611,Chang Deng; Pingqing Fan; Hongzhou Chen,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R050,E238,EXCLUDE,Kareem Omran; Cesar de Cesar Netto; Nacime Salomao Barbachan Mansur; Grayson Talaski; Kepler Carvalho; Kevin Dibbern. Contralateral Ankle Comparison on Weight-Bearing CT Can Predict Syndesmotic Injury with High Diagnostic Accuracy: A Cadaveric Study. Foot & Ankle Orthopaedics. 2026. https://doi.org/10.1177/2473011426s00070,Kareem Omran; Cesar de Cesar Netto; Nacime Salomao Barbachan Mansur; Grayson Talaski; Kepler Carvalho; Kevin Dibbern,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R051,E342,TRANSFER,Puyam S. Singh; Victor Saikhom; Dibyajyoti Chutia; Nilay Nishant; Shiv Prasad Aggarwal. Monitoring Infrastructural Changes in Challenging Terrains Using a Drone-Based 3D Point Cloud Approach for the North Eastern Region. [Venue unavailable]. 2024. https://doi.org/10.1109/ingarss61818.2024.10984105,Puyam S,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R052,E329,CORE,Sergio Peruda; Einstein D. Yong; Leonardo Samaniego; Risheene P. Dadoy; Veronica D.P. Gubatan; Hamill Jhon O. Marinda. Low-Cost Stockpile Scanner and Volume Calculator using Light Detection and Ranging Device. [Venue unavailable]. 2021. https://doi.org/10.1109/icset53708.2021.9612538,Sergio Peruda; Einstein D,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R053,E151,TRANSFER,Jiaqian Ma; Yan Zhao; Shanwei Li; Jian Wei; Shigang Wang; Mo Chen. 3D surface change detection of slope using 3D point cloud based on construction of double surface. Measurement. 2024. https://doi.org/10.1016/j.measurement.2024.115539,Jiaqian Ma; Yan Zhao; Shanwei Li; Jian Wei; Shigang Wang; Mo Chen,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R054,E26,TRANSFER,"JAMES M R, ROBSON S, SMITH M W. 3-D uncertainty-based topographic change detection with structure-from-motion photogrammetry: precision maps for ground control and directly georeferenced surveys[J]. Earth Surface Processes and Landforms, 2017, 42(12): 1769-1788. DOI: 10.1002/esp.4125.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R055,E451,EXCLUDE,Jong‐Min Yeom; Kyung‐Soo Han; Inhwan Kim. The Study of Land Surface Change Detection Using Long-Term SPOT/VEGETATION. Journal of the Korean Association of Geographic Information Studies. 2010. https://doi.org/10.11108/kagis.2010.13.4.111,Jong‐Min Yeom; Kyung‐Soo Han; Inhwan Kim,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R056,E292,TRANSFER,Jiakang Chen; Rongfang Wang; Libin Sun; Changzhe Jiao. GSANet: Geometric Structure-Aware Siamese Network for 3D Change Detection. Remote Sensing. 2026. https://doi.org/10.3390/rs18162647,Jiakang Chen; Rongfang Wang; Libin Sun; Changzhe Jiao,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R057,E333,TRANSFER,Thomas Dewez; Sébastien Linarès; Silvain Yart; Florian Masson; Marie Collignon; Lucas Rivera; Caroline Bedeau; Matthieu Chevillard. Mapping gold mines under the French Guiana rainforest: return of experience with different mobile lidar systems. [Venue unavailable]. 2024. https://doi.org/10.5194/egusphere-egu24-15904,Thomas Dewez; Sébastien Linarès; Silvain Yart; Florian Masson; Marie Collignon; Lucas Rivera; Caroline Bedeau; Matthieu Chevillard,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Adjacent acquisition, calibration, localization or change evidence relevant to the target measurement chain."
R058,E249,EXCLUDE,Kui Wang; Yangyang Zhao; Meiru Zhang; Yuhang Qiu; Huajun Li; Tianhao Zhou; Xiao-cui Zhou; Qingyang Wei. Design of a Head Position and Orientation Detection System Based on Improved Markerless Visual Tracking for Unrestrained Awake Mice. IEEE Transactions on Instrumentation and Measurement. 2025. https://doi.org/10.1109/tim.2025.3590832,Kui Wang; Yangyang Zhao; Meiru Zhang; Yuhang Qiu; Huajun Li; Tianhao Zhou; Xiao-cui Zhou; Qingyang Wei,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R059,E428,TRANSFER,Simon J. Walker; Tim R. McVicar; Pascal Castellazzi; Scott Wilkinson; Sana Khan. Spaceborne Insar and Optical Observations Improve Uncertainty Estimation in 3d Geomorphic Change Detection Using High-Resolution Topography. SSRN Electronic Journal. 2023. https://doi.org/10.2139/ssrn.4680424,Simon J,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R060,E28,TRANSFER,"KRAUS K, PFEIFER N. Determination of terrain models in wooded areas with airborne laser scanner data[J]. ISPRS J Photogramm Remote Sens, 1998, 53(4): 193-203. DOI: 10.1016/S0924-2716(98)00009-4.",Source material supplied in the blinded screening form.,NOT-RETRIEVED,NOT-RETRIEVED,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R061,E223,EXCLUDE,Claude F. Burgoyne; Donald E. Mercante; Hilary W. Thompson. Change detection in regional and volumetric disc parameters using longitudinal confocal scanning laser tomography 1 1None of the authors has any proprietary interests in this paper.. Ophthalmology. 2002. https://doi.org/10.1016/s0161-6420(01)01005-3,Claude F,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R062,E257,EXCLUDE,W. M. W. N. Haimi; Cheek Hau Tan; Vithyacharan Retnasamy; Rajendaran Vairavan; Zaliman Sauli; Nor Roshidah Yusof; N. A. M. Ahmad Hambali; M. H. A. Aziz; Ahmad Syahir Ahmad Bakhit. Digital fringe projection for hand surface coordinate variation analysis caused by osteoarthritis. EPJ Web of Conferences. 2017. https://doi.org/10.1051/epjconf/201716201036,W,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R063,E64,TRANSFER,"HALDER S, AFSARI K, SERDAKOWSKI J, et al. Real-Time and Remote Construction Progress Monitoring with a Quadruped Robot Using Augmented Reality[J]. Buildings, 2022, 12(11): 2027. DOI: 10.3390/buildings12112027.",Source material supplied in the blinded screening form.,FT,EXCLUDE-OTHER,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R064,E237,EXCLUDE,"Kinan Dandan; Houssam Albitar; Anani Ananiev; Ivan Kalaykov. Confined Spaces: Cleaning Techniques and Robot-based Surface Cleaning. American Scientific Research Journal for Engineering, Technology, and Sciences (Global Society of Scientific Research and Researchers). 2016.",Kinan Dandan; Houssam Albitar; Anani Ananiev; Ivan Kalaykov,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R065,E97,SUPPORT,"ASPRS. *Positional Accuracy Standards for Digital Geospatial Data*, Edition 2, Version 2.0[S]. 2024.",ASPRS,ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
